,Brand,Model,Price,Moteur,Energie,Architecture,Cylindrée,Puissance fiscale,Puissance maxi.,Couple maxi.,Boîte à vitesse,Palettes au volant,Conso. ville,Conso. route,Conso. mixte,Emission CO2,Vitesse maxi.,Accélération 0-100 km/h,Catégorie,Carrosserie,Nombre de places,Poids à vide,Longueur,Largeur,Hauteur,Empattement,Volume du réservoir,Volume de coffre,Airbags,ABS,ESP,Antipatinage,Aide au freinage d'urgence,Antidémarrage électronique,Aide au démarrage en côte,Sélecteur de mode de conduite,Détection de fatigue,Système d'alerte de franchissement de ligne,Détecteur d'angle mort,Détecteur de sous-gonflage,Fermeture de portes en roulant,Système d'alarme,Phares antibrouillard,Préparation ISOFIX,Climatisation,Système audio,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Régulateur de vitesse adaptatif,Détecteur de pluie,Allumage auto. des feux,Frein à main électrique,Ecran tactile,Instrumentation de bord digitale,Reconnaissance de panneaux,Affichage Tête-Haute,Aide au stationnement,Caméra de recul,Park Assist Auto.,Commandes au volant,Volant réglable,Vitres électriques,Rétroviseurs électriques,Rétroviseurs rabattables électriquement,Coffre électrique,Démarrage mains libres,Sièges électriques,Sièges électriques avec fonction mémoire,Banquette arrière rabattable 1/3-2/3,Système de navigation GPS,Connexion Internet,Bluetooth,Follow-me home,Jantes aluminium,Volant cuir,Feux de jour,Phares à LED,Vitres sur-teintées,Sellerie,Toit,Barres de toit
13,AUDI,A3 Berline,412.000 DH *   * Prix public,2.0 TDI 150 S-Tronic,Diesel,4 cylindres,1.968 cm³,8 cv,150 ch,360 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,6 l/100 km","3,4 l/100 km","3,9 l/100 km",120 g/km,222 km/h,"8,3 sec.",Compacte,Compacte tricorps,5,1.395 kg,450 cm,182 cm,143 cm,264 cm,50 litre,425 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,non,non,oui,non,non,oui,oui,17 pouces,oui,oui,oui,non,Similicuir,Rigide,non
14,AUDI,A3 Berline,455.000 DH *   * Prix public,2.0 TDI 150 S-Tronic,Diesel,4 cylindres,1.968 cm³,8 cv,150 ch,360 Nm,Automatique S-Tronic 7 rapports à double embrayage,oui,"4,6 l/100 km","3,4 l/100 km","3,9 l/100 km",120 g/km,222 km/h,"8,3 sec.",Compacte,Compacte tricorps,5,1.395 kg,450 cm,182 cm,143 cm,264 cm,50 litre,425 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,non,non,oui,non,non,oui,oui,17 pouces,oui,oui,oui,non,Similicuir,Panoramique,non
15,AUDI,A3 Berline,489.000 DH *   * Prix public,2.0 TDI 150 S-Tronic,Diesel,4 cylindres,1.968 cm³,8 cv,150 ch,360 Nm,Automatique S-Tronic 7 rapports à double embrayage,oui,"4,6 l/100 km","3,4 l/100 km","3,9 l/100 km",120 g/km,222 km/h,"8,3 sec.",Compacte,Compacte tricorps,5,1.395 kg,450 cm,182 cm,143 cm,264 cm,50 litre,425 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,Conducteur,non,oui,non,non,oui,oui,18 pouces,oui,oui,oui,non,Similicuir,Panoramique,non
16,AUDI,A4,456.000 DH *   * Prix public,2.0 TDI 163,Diesel,4 cylindres,1.968 cm³,8 cv,163 ch,380 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,2 l/100 km","3,4 l/100 km","3,7 l/100 km",106 g/km,210 km/h,"8,2 sec.",Familiale,Berline tricorps,5,1.570 kg,476 cm,184 cm,143 cm,282 cm,40 litre,460 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,auto.,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,non,non,non,Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,Conducteur,non,oui,non,non,oui,oui,17 pouces,oui,oui,oui,non,Cuir,Rigide,non
17,AUDI,A4,499.000 DH *   * Prix public,2.0 TDI 163,Diesel,4 cylindres,1.968 cm³,8 cv,163 ch,380 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,2 l/100 km","3,4 l/100 km","3,7 l/100 km",106 g/km,210 km/h,"8,2 sec.",Familiale,Berline tricorps,5,1.570 kg,476 cm,184 cm,143 cm,282 cm,40 litre,460 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,auto. Tri-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,non,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,Conducteur,non,oui,non,non,oui,oui,18 pouces,oui,oui,oui,non,Cuir,Rigide,non
18,AUDI,A4,576.000 DH *   * Prix public,2.0 TDI 163,Diesel,4 cylindres,1.968 cm³,8 cv,163 ch,380 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,2 l/100 km","3,4 l/100 km","3,7 l/100 km",106 g/km,210 km/h,"8,2 sec.",Familiale,Berline tricorps,5,1.570 kg,476 cm,184 cm,143 cm,282 cm,40 litre,460 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,auto. Tri-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,Conducteur et Passager,non,oui,non,non,oui,oui,18 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
19,AUDI,A5 Coupé,510.000 DH *   * Prix public,2.0 TDI 163,Diesel,4 cylindres,1.968 cm³,8 cv,163 ch,370 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,9 l/100 km","3,4 l/100 km","4,0 l/100 km",112 g/km,210 km/h,"8,4 sec.",Coupé / Sportive,Coupé berline,4,1.505 kg,469 cm,185 cm,137 cm,276 cm,40 litre,450 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto.,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,non,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV,oui,oui,oui,oui,Conducteur et Passager,non,oui,non,non,oui,oui,17 pouces,oui,oui,oui,oui,Cuir,Rigide,non
20,AUDI,A5 Coupé,580.000 DH *   * Prix public,2.0 TDI 163,Diesel,4 cylindres,1.968 cm³,8 cv,163 ch,370 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,9 l/100 km","3,4 l/100 km","4,0 l/100 km",112 g/km,210 km/h,"8,4 sec.",Coupé / Sportive,Coupé berline,4,1.505 kg,469 cm,185 cm,137 cm,276 cm,40 litre,450 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto. Tri-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,non,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV,oui,oui,oui,oui,Conducteur et Passager,non,oui,non,non,oui,oui,18 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
21,AUDI,A5 Coupé,670.000 DH *   * Prix public,2.0 TDI 190,Diesel,4 cylindres,1.968 cm³,8 cv,190 ch,400 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,8 l/100 km","3,8 l/100 km","4,2 l/100 km",127 g/km,210 km/h,"7,9 sec.",Coupé / Sportive,Coupé berline,4,1.505 kg,469 cm,185 cm,137 cm,276 cm,40 litre,450 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto. Tri-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV,oui,oui,oui,oui,Conducteur et Passager,non,oui,non,non,oui,oui,19 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
22,AUDI,A5 SportBack,510.000 DH *   * Prix public,2.0 TDI 163,Diesel,4 cylindres,1.968 cm³,8 cv,163 ch,370 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,9 l/100 km","3,4 l/100 km","4,0 l/100 km",112 g/km,210 km/h,"8,4 sec.",Routière,Berline bicorps,5,1.510 kg,475 cm,184 cm,138 cm,282 cm,40 litre,465 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto.,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,non,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,non,oui,non,non,oui,oui,17 pouces,oui,oui,oui,oui,Cuir,Rigide,non
23,AUDI,A5 SportBack,580.000 DH *   * Prix public,2.0 TDI 163,Diesel,4 cylindres,1.968 cm³,8 cv,163 ch,370 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,9 l/100 km","3,4 l/100 km","4,0 l/100 km",112 g/km,210 km/h,"8,4 sec.",Routière,Berline bicorps,5,1.510 kg,475 cm,184 cm,138 cm,282 cm,40 litre,465 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto. Tri-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,non,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,non,oui,non,non,oui,oui,18 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
24,AUDI,A5 SportBack,670.000 DH *   * Prix public,2.0 TDI 190,Diesel,4 cylindres,1.968 cm³,8 cv,190 ch,400 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,8 l/100 km","3,8 l/100 km","4,2 l/100 km",127 g/km,210 km/h,"7,9 sec.",Routière,Berline bicorps,5,1.510 kg,475 cm,184 cm,138 cm,282 cm,40 litre,465 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto. Tri-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,non,oui,non,non,oui,oui,19 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
25,AUDI,A6,519.000 DH *   * Prix public,40 TDI 190 STronic,Diesel,4 cylindres,1.968 cm³,8 cv,190 ch,400 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,7 l/100 km","3,9 l/100 km","4,2 l/100 km",114 g/km,232 km/h,"8,2 sec.",Routière,Berline tricorps,5,1.720 kg,494 cm,189 cm,146 cm,292 cm,73 litre,530 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,oui,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,non,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,non,Conducteur et Passager,oui,oui,non,non,oui,oui,17 pouces,oui,oui,oui,oui,Cuir,Rigide,non
26,AUDI,A6,624.000 DH *   * Prix public,40 TDI 190 STronic,Diesel,4 cylindres,1.968 cm³,8 cv,190 ch,400 Nm,Automatique S-Tronic 7 rapports à double embrayage,oui,"4,7 l/100 km","3,9 l/100 km","4,2 l/100 km",114 g/km,232 km/h,"8,2 sec.",Routière,Berline tricorps,5,1.720 kg,494 cm,189 cm,146 cm,292 cm,73 litre,530 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,oui,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,non,Conducteur et Passager,oui,oui,oui,non,oui,oui,19 pouces,oui,oui,oui,oui,Cuir,Rigide,non
27,AUDI,A6,707.000 DH *   * Prix public,40 TDI 190 STronic,Diesel,4 cylindres,1.968 cm³,8 cv,190 ch,400 Nm,Automatique S-Tronic 7 rapports à double embrayage,oui,"4,7 l/100 km","3,9 l/100 km","4,2 l/100 km",114 g/km,232 km/h,"8,2 sec.",Routière,Berline tricorps,5,1.720 kg,494 cm,189 cm,146 cm,292 cm,73 litre,530 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,oui,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,19 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
28,AUDI,A6,796.000 DH *   * Prix public,40 TDI 190 STronic,Diesel,4 cylindres,1.968 cm³,8 cv,190 ch,400 Nm,Automatique S-Tronic 7 rapports à double embrayage,oui,"4,7 l/100 km","3,9 l/100 km","4,2 l/100 km",114 g/km,232 km/h,"8,2 sec.",Routière,Berline tricorps,5,1.720 kg,494 cm,189 cm,146 cm,292 cm,73 litre,530 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,oui,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,20 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
29,AUDI,A6,828.000 DH *   * Prix public,40 TDI 249 STronic,Diesel,6 cylindres en ligne,2.967 cm³,12 cv,249 ch,600 Nm,Automatique S-Tronic 8 rapports à double embrayage,oui,"6,1 l/100 km","5,0 l/100 km","5,5 l/100 km",106 g/km,250 km/h,"6,2 sec.",Routière,Berline tricorps,5,1.720 kg,494 cm,189 cm,146 cm,292 cm,73 litre,530 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,oui,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,19 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
30,AUDI,A6,861.000 DH *   * Prix public,40 TDI 249 STronic,Diesel,6 cylindres en ligne,2.967 cm³,12 cv,249 ch,600 Nm,Automatique S-Tronic 8 rapports à double embrayage,oui,"6,1 l/100 km","5,0 l/100 km","5,5 l/100 km",106 g/km,250 km/h,"6,2 sec.",Routière,Berline tricorps,5,1.720 kg,494 cm,189 cm,146 cm,292 cm,73 litre,530 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,oui,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,20 pouces,oui,oui,oui,oui,Cuir,Panoramique ouvrant,non
